1,6,5.5,200401010510
2,14,2.8,200401010510
3,9,11.0,200401010510
4,8,7.3,200401010510
5,3,80.6,200401010510
6,10,4.0,200401010510
7,1,164.6,200401010510
8,4,42.0,200401010510
9,12,31.4,200401010510
10,13,94.3,200401010510
11,2,84.4,200401010510
12,5,58.9,200401010510
13,7,8.0,200401010510
14,11,107.2,200401010510
1,3,10.1,200401010511
2,12,1.5,200401010511
3,11,11.9,200401010511
4,8,21.7,200401010511
5,9,152.3,200401010511
6,5,22.1,200401010511
7,1,185.2,200401010511
8,10,479.7,200401010511
9,2,108.5,200401010511
10,6,7.5,200401010511
11,4,5.2,200401010511
12,7,159.4,200401010511
1,12,11.6,200401010512
2,6,3.4,200401010512
3,3,2.4,200401010512
4,7,5.5,200401010512
5,1,56.7,200401010512
6,8,50.7,200401010512
7,5,73.5,200401010512
8,2,45.5,200401010512
9,9,41.1,200401010512
10,4,12.7,200401010512
11,11,9.8,200401010512
12,10,123.5,200401010512
1,1,2.8,200401010601
2,4,8.2,200401010601
3,5,42.7,200401010601
4,6,2.1,200401010601
5,2,9.1,200401010601
6,3,10.5,200401010601
7,8,15.5,200401010601
8,9,102.1,200401010601
9,7,81.8,200401010601
1,9,2.5,200401010602
2,4,115.6,200401010602
3,5,11.7,200401010602
4,2,73.7,200401010602
5,1,3.2,200401010602
6,7,10.7,200401010602
7,8,9.5,200401010602
8,6,35.4,200401010602
9,11,4.7,200401010602
10,10,215.3,200401010602
取,3,---,200401010602
1,4,4.5,200401010603
2,7,2.3,200401010603
3,2,11.6,200401010603
4,8,14.7,200401010603
5,3,28.3,200401010603
6,9,11.2,200401010603
7,1,19.1,200401010603
8,10,21.5,200401010603
9,11,4.4,200401010603
10,5,132.1,200401010603
11,6,142.2,200401010603
1,6,3.6,200401010604
2,5,3.8,200401010604
3,4,35.1,200401010604
4,8,2.5,200401010604
5,7,52.9,200401010604
6,9,48.2,200401010604
7,12,23.4,200401010604
8,1,13.9,200401010604
9,3,90.4,200401010604
10,11,8.2,200401010604
11,2,73.7,200401010604
12,10,229.4,200401010604
1,7,3.3,200401010605
2,8,41.8,200401010605
3,1,3.3,200401010605
4,13,11.9,200401010605
5,9,13.5,200401010605
6,6,143.9,200401010605
7,12,13.3,200401010605
8,2,12.5,200401010605
9,4,138.8,200401010605
10,5,21.4,200401010605
11,3,3.9,200401010605
12,11,126.3,200401010605
13,10,282.3,200401010605
1,10,38.5,200401010606
2,9,1.5,200401010606
3,6,7.1,200401010606
4,16,16.7,200401010606
5,4,6.5,200401010606
6,13,12.9,200401010606
7,12,135.4,200401010606
8,1,49.1,200401010606
9,7,82.6,200401010606
10,8,44.6,200401010606
11,11,69.6,200401010606
12,2,76.1,200401010606
13,14,24.2,200401010606
14,15,101.5,200401010606
15,3,234.3,200401010606
16,5,426.3,200401010606
